rhakhis_wfo,taxonid,family,genus,specificepithet,infraspecificepithet,scientfiicname,scientfiicnameauthorship,taxonrank,taxonomicstatus,acceptednameusageid,parentnameusageid,originalnameusageid,namepublishedin,nomenclaturalstatus,taxonremarks,scientificnameid,references,rhakhis_parent,rhakhis_accepted,rhakhis_pk,rhakhis_skip,rhakhis_rank,rhakhis_status,rhakhis_basionym,Subgenus,subfamily
wfo-0000176293,2671713,Fabaceae,Bauhinia,inermis,,Bauhinia inermis,(Cav.) Pers.,Species,Illegitimate,3242754.0,,2538476.0,Syn. Pl. 1: 455 (1805),", nom. illeg.",,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2671713-4,,wfo-0001445020,17,,,,,,Cercidoideae
wfo-0000166284,2672091,Fabaceae,Bauhinia,spathacea,,Bauhinia spathacea,Sessé ex DC.,Species,Synonym,2672123.0,,,Prodr. 2: 512 (1825),,,ipni:30174-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30174-2,,wfo-0000163973,46,,,,,,Cercidoideae
wfo-0000163964,2672039,Fabaceae,Bauhinia,rufa,intermedia,Bauhinia rufa var. intermedia,(Vogel) Benth.,Variety,Synonym,2672035.0,,2671720.0,"C.F.P.von Martius & auct. suc. (eds.), Fl. Bras. 15(2): 187 (1870)",,,ipni:30161-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30161-2,,wfo-0000173941,182,,,,,,Cercidoideae
wfo-0000469538,2538625,Fabaceae,Pauletia,subclavata,,Pauletia subclavata,(Benth.) A.Schmitz,Species,Synonym,2672120.0,,2672120.0,Bull. Jard. Bot. Natl. Belg. 43: 396 (1973),,,ipni:512844-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:512844-1,,wfo-0000173945,186,,,,,,Cercidoideae
wfo-0000199520,2671919,Fabaceae,Bauhinia,parvula,,Bauhinia parvula,Gagnep.,Species,Synonym,2671683.0,,,"Bull. Mus. Natl. Hist. Nat., sér. 2, 24: 316 (1952)",,,ipni:481548-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481548-1,,wfo-0000196986,209,,,,,,Cercidoideae
wfo-0000469493,2538502,Fabaceae,Pauletia,platyphylla,,Pauletia platyphylla,(Benth.) A.Schmitz,Species,Synonym,2671954.0,,2671954.0,Bull. Jard. Bot. Natl. Belg. 43: 396 (1973),,,ipni:512836-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:512836-1,,wfo-0000173933,218,,,,,,Cercidoideae
wfo-0000561616,2671877,Fabaceae,Bauhinia,mucora,,Bauhinia mucora,Bolle,Species,Synonym,2672149.0,,,"W.C.H.Peters, Naturw. Reise Mossambique 6(Bot., 1): 22 (1861)",,,ipni:481519-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481519-1,,wfo-0000213258,265,,,,,,Cercidoideae
wfo-0000173922,2671883,Fabaceae,Bauhinia,nitida,,Bauhinia nitida,Benth.,Species,Synonym,2671539.0,,,"C.F.P.von Martius & auct. suc. (eds.), Fl. Bras. 15(2): 184 (1870)",,,ipni:481524-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481524-1,,wfo-0001054395,382,,,,,,Cercidoideae
wfo-0000166229,2671664,Fabaceae,Bauhinia,hassleriana,,Bauhinia hassleriana,Chodat,Species,Synonym,2671658.0,,,"Bull. Herb. Boissier, sér. 2, 4: 690 (1904)",,,ipni:30070-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30070-2,,wfo-0000163933,384,,,,,,Cercidoideae
wfo-0000203497,2537933,Fabaceae,Phanera,phoenicea,,Phanera phoenicea,(B.Heyne ex Wight & Arn.) Benth.,Species,Synonym,2915053.0,,2915053.0,"F.A.W.Miquel, Pl. Jungh.: 262 (1852)",,,ipni:513564-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:513564-1,,wfo-0000203494,470,,,,,,Cercidoideae
