rhakhis_wfo,taxonid,family,genus,specificepithet,infraspecificepithet,scientfiicname,scientfiicnameauthorship,taxonrank,taxonomicstatus,acceptednameusageid,parentnameusageid,originalnameusageid,namepublishedin,nomenclaturalstatus,taxonremarks,scientificnameid,references,rhakhis_parent,rhakhis_accepted,rhakhis_pk,rhakhis_skip,rhakhis_rank,rhakhis_status,rhakhis_basionym,subfamily
wfo-0000570422,2681446,Fabaceae,Brachystegia,letestui,,Brachystegia letestui,De Wild.,Species,Accepted,2681446,2681394,,"Contr. Fl. Katanga, Suppl. 2: 42 (1929)",,S. DR Congo,ipni:482227-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:482227-1,wfo-4000005257,,41,,,,,Detarioideae
wfo-0000211894,2366427,Fabaceae,Macrolobium,acuminatum,,Macrolobium acuminatum,De Wild.,Species,Synonym,2641698,,,Pl. Bequaert. 3: 224 (1925),,,ipni:505637-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:505637-1,,wfo-0000211884,89,,,,,Detarioideae
wfo-4000031484,2415354,Fabaceae,Pseudocynometra,,,Pseudocynometra,Kuntze,Genus,Illegitimate,2752227,,,"T.E.von Post & C.E.O.Kuntze, Lex. Gen. Phan.: 464 (1903)",", nom. superfl.",,ipni:329917-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:329917-2,,wfo-4000010422,144,,,,,Detarioideae
wfo-0000206168,2331299,Fabaceae,Jonesia,monopetala,,Jonesia monopetala,Hassk.,Species,Synonym,3012923,,,Retzia 1: 199 (1855),,,ipni:501120-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501120-1,,wfo-0000203558,188,,,,,Detarioideae
wfo-0001056935,2643183,Fabaceae,Apalatoa,senegalensis,,Apalatoa senegalensis,(Planch. ex Benth.) Taub.,Species,Synonym,2745103,,2745103,Bot. Centralbl. 47: 395 (1891),,,ipni:474845-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:474845-1,,wfo-0000165383,212,,,,,Detarioideae
wfo-0000206192,2368553,Fabaceae,Maniltoa,megalocephala,,Maniltoa megalocephala,Harms,Species,Synonym,3238367,,,Bot. Jahrb. Syst. 55: 52 (1917),,,ipni:505911-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:505911-1,,wfo-0001443721,225,,,,,Detarioideae
wfo-0000169769,2373985,Fabaceae,Monopetalanthus,evrardii,,Monopetalanthus evrardii,Bamps,Species,Synonym,2675898,,,Bull. Jard. Bot. Natl. Belg. 50: 512 (1980),,,ipni:509076-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:509076-1,,wfo-0000193709,227,,,,,Detarioideae
wfo-4000031405,2536100,Fabaceae,Pseudoberlinia,,,Pseudoberlinia,P.A.Duvign.,Genus,Synonym,2331522,,,Bull. Séances Inst. Roy. Colon. Belge 21: 431 (1950),,,ipni:23345-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:23345-1,,wfo-4000019655,228,,,,,Detarioideae
wfo-0001057666,2749032,Fabaceae,Cyanothyrsus,ogea,,Cyanothyrsus ogea,Harms,Species,Synonym,2756761,,,Bot. Jahrb. Syst. 26: 270 (1899),,,ipni:489253-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:489253-1,,wfo-0000166238,230,,,,,Detarioideae
wfo-0000206112,2745097,Fabaceae,Crudia,penduliflora,,Crudia penduliflora,Ridl.,Species,Accepted,2745097,2745047,,J. Straits Branch Roy. Asiat. Soc. 61: 3 (1912),,Myanmar to W. Malesia,ipni:489142-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:489142-1,wfo-4000009814,,297,,,,,Detarioideae
wfo-0000165179,2735879,Fabaceae,Copaifera,mopane,,Copaifera mopane,J.Kirk ex Benth.,Species,Synonym,2731425,,,Trans. Linn. Soc. London 25: 317 (1865),,,ipni:487028-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:487028-1,,wfo-0001057638,303,,,,,Detarioideae
wfo-0000206159,3256306,Fabaceae,Cynometra,ramiflora,ramiflora,Cynometra ramiflora var. ramiflora,,Variety,Accepted,3256306,2752365,,Unknown,,Trop. Asia to W. Pacific,ipni:77222921-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77222921-1,wfo-0000192868,,376,,,,,Detarioideae
wfo-0000203528,2624991,Fabaceae,Afzelia,martabanica,,Afzelia martabanica,(Prain) J.Léonard,Species,Accepted,2624991,2624953,2531807,Reinwardtia 1: 64 (1950),,Myanmar,ipni:473069-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:473069-1,wfo-4000000874,,399,,,,,Detarioideae
wfo-0001057786,2867434,Fabaceae,Isomacrolobium,vignei,,Isomacrolobium vignei,(Hoyle) Aubrév. & Pellegr.,Species,Synonym,3244103,,2366052,Bull. Soc. Bot. France 104: 498 (1958),,,ipni:501010-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501010-1,,wfo-0001443779,428,,,,,Detarioideae
