rhakhis_wfo,taxonid,family,genus,specificepithet,infraspecificepithet,scientfiicname,scientfiicnameauthorship,taxonrank,taxonomicstatus,acceptednameusageid,parentnameusageid,originalnameusageid,namepublishedin,nomenclaturalstatus,taxonremarks,scientificnameid,references,rhakhis_parent,rhakhis_accepted,rhakhis_pk,rhakhis_skip,rhakhis_rank,rhakhis_status,rhakhis_basionym,subfamily
wfo-0000166788,2763517,Fabaceae,Dialium,pobeguinii,,Dialium pobeguinii,Pellegr.,Species,Accepted,2763517,2763452,,Bull. Soc. Bot. France 88: 449 (1941),,Guinea to Sierra Leone,ipni:492348-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:492348-1,wfo-4000011286,,437,,,,,Dialioideae
wfo-0000166709,2766799,Fabaceae,Dicorynia,macrophylla,,Dicorynia macrophylla,Ducke,Species,Synonym,2766804,,,"Bull. Mus. Natl. Hist. Nat., sér. 2, 4: 731 (1932)",,,ipni:79813-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:79813-2,,wfo-0000164346,708,,,,,Dialioideae
wfo-0000166877,2763502,Fabaceae,Dialium,mayumbense,,Dialium mayumbense,Baker f.,Species,Synonym,2763530,,,J. Bot. 66(Suppl. 1): 137 (1928),,,ipni:492336-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:492336-1,,wfo-0000166869,870,,,,,Dialioideae
wfo-0001057652,2763526,Fabaceae,Dialium,silvestre,,Dialium silvestre,de Wit,Species,Synonym,3256460,,,Blumea 7: 321 (1953),,,ipni:492357-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:492357-1,,wfo-0000205625,909,,,,,Dialioideae
wfo-4000012217,2773184,Fabaceae,Distemonanthus,,,Distemonanthus,Benth.,Genus,Accepted,2773184,,,"G.Bentham & J.D.Hooker, Gen. Pl. 1: 573 (1865)",,W. & WC. Trop. Africa,ipni:22286-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:22286-1,wfo-4100002417,,1274,,,,,Dialioideae
wfo-4000002727,2644313,Fabaceae,Apoleya,,,Apoleya,Gleason,Genus,Illegitimate,2644498,,,Phytologia 1: 143 (1935),", nom. illeg.",,ipni:21696-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:21696-1,,wfo-4000002800,1443,,,,,Dialioideae
wfo-0000166585,2763491,Fabaceae,Dialium,lacourtianum,,Dialium lacourtianum,De Wild. ex Vermoesen,Species,Invalid,2763469,,,Man. Ess. Forest. Congo: 98 (1923),", not validly publ.",,ipni:492328-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:492328-1,,wfo-0000166574,1490,,,,,Dialioideae
wfo-0000195772,2671241,Fabaceae,Baudouinia,orientalis,,Baudouinia orientalis,R.Vig.,Species,Accepted,2671241,2671237,,Notul. Syst. (Paris) 13: 351 (1948),,E. Madagascar (E. Masoala Pen.),ipni:481066-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481066-1,wfo-4000004237,,1542,,,,,Dialioideae
wfo-0000205615,2763483,Fabaceae,Dialium,indum,bursa,Dialium indum var. bursa,(de Wit) Rojo ex Kessler & Sidiyasa,Variety,Accepted,2763483,2763482,2763495,Trees Balikpapan-Samarinda: 71 (1994),,W. Malesia,ipni:982264-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:982264-1,wfo-0000199437,,1599,,,,,Dialioideae
wfo-0000186778,2644500,Fabaceae,Apuleia,leiocarpa,,Apuleia leiocarpa,(Vogel) J.F.Macbr.,Species,Accepted,2644500,2644498,2346016,Contr. Gray Herb. 59: 23 (1919),,S. Trop. America to NE. Argentina,ipni:16766-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:16766-2,wfo-4000002800,,1721,,,,,Dialioideae
wfo-0000166465,2763455,Fabaceae,Dialium,angolense,,Dialium angolense,Welw. ex Oliv.,Species,Accepted,2763455,2763452,,Fl. Trop. Afr. 2: 283 (1871),,WC. & S. Trop. Africa,ipni:492292-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:492292-1,wfo-4000011286,,1809,,,,,Dialioideae
